Pays,iso3,date,indicator,value
Australia,AUS,1994-Q1,reer_ic37_41_cpi,73.86852999999999
Austria,AUT,1994-Q1,reer_ic37_41_cpi,107.11567500000001
Belgium,BEL,1994-Q1,reer_ic37_41_cpi,101.609115
Canada,CAN,1994-Q1,reer_ic37_41_cpi,100.18647
Czechia,CZE,1994-Q1,reer_ic37_41_cpi,61.530555
Denmark,DNK,1994-Q1,reer_ic37_41_cpi,98.932055
Estonia,EST,1994-Q1,reer_ic37_41_cpi,43.03487
Finland,FIN,1994-Q1,reer_ic37_41_cpi,101.78657
France,FRA,1994-Q1,reer_ic37_41_cpi,109.24446
Germany,DEU,1994-Q1,reer_ic37_41_cpi,115.816005
Hungary,HUN,1994-Q1,reer_ic37_41_cpi,78.72725
Ireland,IRL,1994-Q1,reer_ic37_41_cpi,98.255335
Italy,ITA,1994-Q1,reer_ic37_41_cpi,96.28115
Japan,JPN,1994-Q1,reer_ic37_41_cpi,179.75401499999998
Latvia,LVA,1994-Q1,reer_ic37_41_cpi,54.09266
Lithuania,LTU,1994-Q1,reer_ic37_41_cpi,37.764245
Luxembourg,LUX,1994-Q1,reer_ic37_41_cpi,95.312805
Mexico,MEX,1994-Q1,reer_ic37_41_cpi,126.37865500000001
Netherlands,NLD,1994-Q1,reer_ic37_41_cpi,99.079995
New Zealand,NZL,1994-Q1,reer_ic37_41_cpi,76.38524000000001
Norway,NOR,1994-Q1,reer_ic37_41_cpi,106.68685500000001
Poland,POL,1994-Q1,reer_ic37_41_cpi,70.79936000000001
Portugal,PRT,1994-Q1,reer_ic37_41_cpi,95.073215
Slovakia,SVK,1994-Q1,reer_ic37_41_cpi,48.431165
Slovenia,SVN,1994-Q1,reer_ic37_41_cpi,85.488335
South Korea,KOR,1994-Q1,reer_ic37_41_cpi,104.65169
Spain,ESP,1994-Q1,reer_ic37_41_cpi,92.63227
Sweden,SWE,1994-Q1,reer_ic37_41_cpi,112.52178
Switzerland,CHE,1994-Q1,reer_ic37_41_cpi,86.91097500000001
Turkey,TUR,1994-Q1,reer_ic37_41_cpi,75.48312999999999
United Kingdom,GBR,1994-Q1,reer_ic37_41_cpi,93.24674
United States,USA,1994-Q1,reer_ic37_41_cpi,86.25637
Australia,AUS,1994-Q2,reer_ic37_41_cpi,73.93612999999999
Austria,AUT,1994-Q2,reer_ic37_41_cpi,107.659625
Belgium,BEL,1994-Q2,reer_ic37_41_cpi,102.80552
Canada,CAN,1994-Q2,reer_ic37_41_cpi,95.71707
Czechia,CZE,1994-Q2,reer_ic37_41_cpi,61.584295
Denmark,DNK,1994-Q2,reer_ic37_41_cpi,99.68053499999999
Estonia,EST,1994-Q2,reer_ic37_41_cpi,48.06697
Finland,FIN,1994-Q2,reer_ic37_41_cpi,102.24747500000001
France,FRA,1994-Q2,reer_ic37_41_cpi,109.78881
Germany,DEU,1994-Q2,reer_ic37_41_cpi,117.4507
Hungary,HUN,1994-Q2,reer_ic37_41_cpi,78.720035
Ireland,IRL,1994-Q2,reer_ic37_41_cpi,98.67291
Italy,ITA,1994-Q2,reer_ic37_41_cpi,99.21074999999999
Japan,JPN,1994-Q2,reer_ic37_41_cpi,184.439525
Latvia,LVA,1994-Q2,reer_ic37_41_cpi,56.683840000000004
Lithuania,LTU,1994-Q2,reer_ic37_41_cpi,39.144165
Luxembourg,LUX,1994-Q2,reer_ic37_41_cpi,96.170255
Mexico,MEX,1994-Q2,reer_ic37_41_cpi,120.621655
Netherlands,NLD,1994-Q2,reer_ic37_41_cpi,100.045065
New Zealand,NZL,1994-Q2,reer_ic37_41_cpi,76.28437
Norway,NOR,1994-Q2,reer_ic37_41_cpi,107.61514
Poland,POL,1994-Q2,reer_ic37_41_cpi,70.58164
Portugal,PRT,1994-Q2,reer_ic37_41_cpi,95.00506
Slovakia,SVK,1994-Q2,reer_ic37_41_cpi,48.486855000000006
Slovenia,SVN,1994-Q2,reer_ic37_41_cpi,87.878795
South Korea,KOR,1994-Q2,reer_ic37_41_cpi,103.72268
Spain,ESP,1994-Q2,reer_ic37_41_cpi,93.55313
Sweden,SWE,1994-Q2,reer_ic37_41_cpi,112.94662
Switzerland,CHE,1994-Q2,reer_ic37_41_cpi,86.699805
Turkey,TUR,1994-Q2,reer_ic37_41_cpi,55.043345
United Kingdom,GBR,1994-Q2,reer_ic37_41_cpi,92.69793
United States,USA,1994-Q2,reer_ic37_41_cpi,85.58049
Australia,AUS,1994-Q3,reer_ic37_41_cpi,73.101565
Austria,AUT,1994-Q3,reer_ic37_41_cpi,110.06922499999999
Belgium,BEL,1994-Q3,reer_ic37_41_cpi,104.702485
Canada,CAN,1994-Q3,reer_ic37_41_cpi,95.425985
Czechia,CZE,1994-Q3,reer_ic37_41_cpi,61.916935
Denmark,DNK,1994-Q3,reer_ic37_41_cpi,100.78762
Estonia,EST,1994-Q3,reer_ic37_41_cpi,51.156355000000005
Finland,FIN,1994-Q3,reer_ic37_41_cpi,105.26352
France,FRA,1994-Q3,reer_ic37_41_cpi,111.45892
Germany,DEU,1994-Q3,reer_ic37_41_cpi,119.74333
Hungary,HUN,1994-Q3,reer_ic37_41_cpi,75.58978
Ireland,IRL,1994-Q3,reer_ic37_41_cpi,99.281315
Italy,ITA,1994-Q3,reer_ic37_41_cpi,96.92946
Japan,JPN,1994-Q3,reer_ic37_41_cpi,185.781415
Latvia,LVA,1994-Q3,reer_ic37_41_cpi,58.002515
Lithuania,LTU,1994-Q3,reer_ic37_41_cpi,40.153414999999995
Luxembourg,LUX,1994-Q3,reer_ic37_41_cpi,97.709295
Mexico,MEX,1994-Q3,reer_ic37_41_cpi,118.78868
Netherlands,NLD,1994-Q3,reer_ic37_41_cpi,101.82593
New Zealand,NZL,1994-Q3,reer_ic37_41_cpi,77.26008999999999
Norway,NOR,1994-Q3,reer_ic37_41_cpi,109.007515
Poland,POL,1994-Q3,reer_ic37_41_cpi,70.16211000000001
Portugal,PRT,1994-Q3,reer_ic37_41_cpi,97.11283499999999
Slovakia,SVK,1994-Q3,reer_ic37_41_cpi,48.81703
Slovenia,SVN,1994-Q3,reer_ic37_41_cpi,91.342715
South Korea,KOR,1994-Q3,reer_ic37_41_cpi,102.70274
Spain,ESP,1994-Q3,reer_ic37_41_cpi,94.838255
Sweden,SWE,1994-Q3,reer_ic37_41_cpi,109.99706
Switzerland,CHE,1994-Q3,reer_ic37_41_cpi,88.95665
Turkey,TUR,1994-Q3,reer_ic37_41_cpi,59.64579
United Kingdom,GBR,1994-Q3,reer_ic37_41_cpi,91.127065
United States,USA,1994-Q3,reer_ic37_41_cpi,83.32544
Australia,AUS,1994-Q4,reer_ic37_41_cpi,74.21247
Austria,AUT,1994-Q4,reer_ic37_41_cpi,108.96300500000001
Belgium,BEL,1994-Q4,reer_ic37_41_cpi,104.217545
Canada,CAN,1994-Q4,reer_ic37_41_cpi,95.36186000000001
Czechia,CZE,1994-Q4,reer_ic37_41_cpi,62.9322
Denmark,DNK,1994-Q4,reer_ic37_41_cpi,101.34928
Estonia,EST,1994-Q4,reer_ic37_41_cpi,53.259095
Finland,FIN,1994-Q4,reer_ic37_41_cpi,111.10524000000001
France,FRA,1994-Q4,reer_ic37_41_cpi,111.30048
Germany,DEU,1994-Q4,reer_ic37_41_cpi,119.1336
Hungary,HUN,1994-Q4,reer_ic37_41_cpi,76.12179
Ireland,IRL,1994-Q4,reer_ic37_41_cpi,99.79804999999999
Italy,ITA,1994-Q4,reer_ic37_41_cpi,95.44967
Japan,JPN,1994-Q4,reer_ic37_41_cpi,184.694875
Latvia,LVA,1994-Q4,reer_ic37_41_cpi,59.997344999999996
Lithuania,LTU,1994-Q4,reer_ic37_41_cpi,42.785675
Luxembourg,LUX,1994-Q4,reer_ic37_41_cpi,98.14457999999999
Mexico,MEX,1994-Q4,reer_ic37_41_cpi,113.53467
Netherlands,NLD,1994-Q4,reer_ic37_41_cpi,102.11309
New Zealand,NZL,1994-Q4,reer_ic37_41_cpi,79.52537000000001
Norway,NOR,1994-Q4,reer_ic37_41_cpi,109.02777
Poland,POL,1994-Q4,reer_ic37_41_cpi,72.18992
Portugal,PRT,1994-Q4,reer_ic37_41_cpi,97.42361
Slovakia,SVK,1994-Q4,reer_ic37_41_cpi,50.150639999999996
Slovenia,SVN,1994-Q4,reer_ic37_41_cpi,94.05934500000001
