Pays,iso3,date,indicator,value
Canada,CAN,1914-Q1,cpi_index,4.740585
Canada,CAN,1914-Q2,cpi_index,4.740585
Canada,CAN,1914-Q3,cpi_index,4.740585
Canada,CAN,1914-Q4,cpi_index,4.819594
Canada,CAN,1915-Q1,cpi_index,4.819594
Canada,CAN,1915-Q2,cpi_index,4.819594
Canada,CAN,1915-Q3,cpi_index,4.819594
Canada,CAN,1915-Q4,cpi_index,4.977614
Canada,CAN,1916-Q1,cpi_index,5.135633
Canada,CAN,1916-Q2,cpi_index,5.214643
Canada,CAN,1916-Q3,cpi_index,5.372663
Canada,CAN,1916-Q4,cpi_index,5.688702
Canada,CAN,1917-Q1,cpi_index,6.004741
Canada,CAN,1917-Q2,cpi_index,6.32078
Canada,CAN,1917-Q3,cpi_index,6.32078
Canada,CAN,1917-Q4,cpi_index,6.557809
Canada,CAN,1918-Q1,cpi_index,6.794838
Canada,CAN,1918-Q2,cpi_index,6.952857
Canada,CAN,1918-Q3,cpi_index,7.268897
Canada,CAN,1918-Q4,cpi_index,7.426916
Canada,CAN,1919-Q1,cpi_index,7.426916
Canada,CAN,1919-Q2,cpi_index,7.663945
Canada,CAN,1919-Q3,cpi_index,7.900974
Canada,CAN,1919-Q4,cpi_index,8.058994
Canada,CAN,1920-Q1,cpi_index,8.849092
Canada,CAN,1920-Q2,cpi_index,9.32315
Canada,CAN,1920-Q3,cpi_index,9.086121
Canada,CAN,1920-Q4,cpi_index,8.849092
Canada,CAN,1921-Q1,cpi_index,8.296023
Canada,CAN,1921-Q2,cpi_index,7.663945
Canada,CAN,1921-Q3,cpi_index,7.663945
Canada,CAN,1921-Q4,cpi_index,7.426916
Canada,CAN,1922-Q1,cpi_index,7.268897
Canada,CAN,1922-Q2,cpi_index,7.268897
Canada,CAN,1922-Q3,cpi_index,7.268897
Canada,CAN,1922-Q4,cpi_index,7.268897
Canada,CAN,1923-Q1,cpi_index,7.268897
Canada,CAN,1923-Q2,cpi_index,7.268897
Canada,CAN,1923-Q3,cpi_index,7.268897
Canada,CAN,1923-Q4,cpi_index,7.268897
Canada,CAN,1924-Q1,cpi_index,7.268897
Canada,CAN,1924-Q2,cpi_index,6.952857
Canada,CAN,1924-Q3,cpi_index,7.110877
Canada,CAN,1924-Q4,cpi_index,7.189887
Canada,CAN,1925-Q1,cpi_index,7.268897
Canada,CAN,1925-Q2,cpi_index,7.110877
Canada,CAN,1925-Q3,cpi_index,7.189887
Canada,CAN,1925-Q4,cpi_index,7.268897
Canada,CAN,1926-Q1,cpi_index,7.268897
Canada,CAN,1926-Q2,cpi_index,7.268897
Canada,CAN,1926-Q3,cpi_index,7.268897
Canada,CAN,1926-Q4,cpi_index,7.268897
Canada,CAN,1927-Q1,cpi_index,7.268897
Canada,CAN,1927-Q2,cpi_index,7.110877
Canada,CAN,1927-Q3,cpi_index,7.110877
Canada,CAN,1927-Q4,cpi_index,7.189887
Canada,CAN,1928-Q1,cpi_index,7.268897
Canada,CAN,1928-Q2,cpi_index,7.110877
Canada,CAN,1928-Q3,cpi_index,7.268897
Canada,CAN,1928-Q4,cpi_index,7.268897
Canada,CAN,1929-Q1,cpi_index,7.268897
Canada,CAN,1929-Q2,cpi_index,7.268897
Canada,CAN,1929-Q3,cpi_index,7.268897
Canada,CAN,1929-Q4,cpi_index,7.426916
Canada,CAN,1930-Q1,cpi_index,7.347906
Canada,CAN,1930-Q2,cpi_index,7.268897
Canada,CAN,1930-Q3,cpi_index,7.268897
Canada,CAN,1930-Q4,cpi_index,6.952857
Canada,CAN,1931-Q1,cpi_index,6.715828
Canada,CAN,1931-Q2,cpi_index,6.478799
Canada,CAN,1931-Q3,cpi_index,6.399789
Canada,CAN,1931-Q4,cpi_index,6.24177
Canada,CAN,1932-Q1,cpi_index,6.004741
Canada,CAN,1932-Q2,cpi_index,5.846721
Canada,CAN,1932-Q3,cpi_index,5.846721
Canada,CAN,1932-Q4,cpi_index,5.767711
Canada,CAN,1933-Q1,cpi_index,5.609692
Canada,CAN,1933-Q2,cpi_index,5.609692
Canada,CAN,1933-Q3,cpi_index,5.688702
Canada,CAN,1933-Q4,cpi_index,5.609692
Canada,CAN,1934-Q1,cpi_index,5.767711
Canada,CAN,1934-Q2,cpi_index,5.688702
Canada,CAN,1934-Q3,cpi_index,5.688702
Canada,CAN,1934-Q4,cpi_index,5.688702
Canada,CAN,1935-Q1,cpi_index,5.688702
Canada,CAN,1935-Q2,cpi_index,5.688702
Canada,CAN,1935-Q3,cpi_index,5.767711
Canada,CAN,1935-Q4,cpi_index,5.846721
Canada,CAN,1936-Q1,cpi_index,5.846721
Canada,CAN,1936-Q2,cpi_index,5.767711
Canada,CAN,1936-Q3,cpi_index,5.846721
Canada,CAN,1936-Q4,cpi_index,5.925731
Canada,CAN,1937-Q1,cpi_index,6.004741
Canada,CAN,1937-Q2,cpi_index,6.004741
Canada,CAN,1937-Q3,cpi_index,6.08375
Canada,CAN,1937-Q4,cpi_index,6.16276
Canada,CAN,1938-Q1,cpi_index,6.16276
Canada,CAN,1938-Q2,cpi_index,6.08375
Canada,CAN,1938-Q3,cpi_index,6.08375
Canada,CAN,1938-Q4,cpi_index,6.004741
Canada,CAN,1939-Q1,cpi_index,6.004741
Canada,CAN,1939-Q2,cpi_index,6.004741
Canada,CAN,1939-Q3,cpi_index,6.004741
Canada,CAN,1939-Q4,cpi_index,6.16276
Canada,CAN,1940-Q1,cpi_index,6.24177
Canada,CAN,1940-Q2,cpi_index,6.24177
Canada,CAN,1940-Q3,cpi_index,6.399789
Canada,CAN,1940-Q4,cpi_index,6.478799
Canada,CAN,1941-Q1,cpi_index,6.478799
Canada,CAN,1941-Q2,cpi_index,6.636818
Canada,CAN,1941-Q3,cpi_index,6.873848
Canada,CAN,1941-Q4,cpi_index,6.873848
Canada,CAN,1942-Q1,cpi_index,6.952857
Canada,CAN,1942-Q2,cpi_index,6.952857
Canada,CAN,1942-Q3,cpi_index,6.952857
Canada,CAN,1942-Q4,cpi_index,7.110877
Canada,CAN,1943-Q1,cpi_index,6.952857
Canada,CAN,1943-Q2,cpi_index,7.110877
Canada,CAN,1943-Q3,cpi_index,7.268897
Canada,CAN,1943-Q4,cpi_index,7.268897
Canada,CAN,1944-Q1,cpi_index,7.189887
Canada,CAN,1944-Q2,cpi_index,7.189887
Canada,CAN,1944-Q3,cpi_index,7.189887
Canada,CAN,1944-Q4,cpi_index,7.110877
Canada,CAN,1945-Q1,cpi_index,7.189887
Canada,CAN,1945-Q2,cpi_index,7.268897
Canada,CAN,1945-Q3,cpi_index,7.268897
Canada,CAN,1945-Q4,cpi_index,7.268897
Canada,CAN,1946-Q1,cpi_index,7.268897
Canada,CAN,1946-Q2,cpi_index,7.268897
Canada,CAN,1946-Q3,cpi_index,7.584936
Canada,CAN,1946-Q4,cpi_index,7.663945
Canada,CAN,1947-Q1,cpi_index,7.742955
Canada,CAN,1947-Q2,cpi_index,8.058994
Canada,CAN,1947-Q3,cpi_index,8.375033
Canada,CAN,1947-Q4,cpi_index,8.770082
Canada,CAN,1948-Q1,cpi_index,9.007111
Canada,CAN,1948-Q2,cpi_index,9.32315
Canada,CAN,1948-Q3,cpi_index,9.560179
Canada,CAN,1948-Q4,cpi_index,9.560179
Canada,CAN,1949-Q1,cpi_index,9.560179
Canada,CAN,1949-Q2,cpi_index,9.560179
Canada,CAN,1949-Q3,cpi_index,9.639189
Canada,CAN,1949-Q4,cpi_index,9.639189
Canada,CAN,1950-Q1,cpi_index,9.718199
Canada,CAN,1950-Q2,cpi_index,9.718199
Canada,CAN,1950-Q3,cpi_index,10.03424
Canada,CAN,1950-Q4,cpi_index,10.19226
Canada,CAN,1951-Q1,cpi_index,10.58731
Canada,CAN,1951-Q2,cpi_index,10.98235
Canada,CAN,1951-Q3,cpi_index,11.14037
Canada,CAN,1951-Q4,cpi_index,11.29839
Canada,CAN,1952-Q1,cpi_index,11.21938
Canada,CAN,1952-Q2,cpi_index,11.14037
Canada,CAN,1952-Q3,cpi_index,11.14037
Canada,CAN,1952-Q4,cpi_index,11.14037
Canada,CAN,1953-Q1,cpi_index,10.98235
Canada,CAN,1953-Q2,cpi_index,10.98235
Canada,CAN,1953-Q3,cpi_index,11.14037
Canada,CAN,1953-Q4,cpi_index,11.14037
Canada,CAN,1954-Q1,cpi_index,11.06136
Spain,ESP,1954-Q1,cpi_index,1.78591
Canada,CAN,1954-Q2,cpi_index,11.14037
Spain,ESP,1954-Q2,cpi_index,1.78319
Canada,CAN,1954-Q3,cpi_index,11.21938
Spain,ESP,1954-Q3,cpi_index,1.778836
Canada,CAN,1954-Q4,cpi_index,11.14037
Spain,ESP,1954-Q4,cpi_index,1.819647
Belgium,BEL,1955-Q1,cpi_index,13.05528
Canada,CAN,1955-Q1,cpi_index,11.14037
Finland,FIN,1955-Q1,cpi_index,5.345512
France,FRA,1955-Q1,cpi_index,7.406935
Germany,DEU,1955-Q1,cpi_index,20.81088
Greece,GRC,1955-Q1,cpi_index,0.9798926
Iceland,ISL,1955-Q1,cpi_index,0.0274817
Ireland,IRL,1955-Q1,cpi_index,4.205789
Italy,ITA,1955-Q1,cpi_index,3.496058
Japan,JPN,1955-Q1,cpi_index,16.98852
Luxembourg,LUX,1955-Q1,cpi_index,14.55837
Norway,NOR,1955-Q1,cpi_index,7.167139
Portugal,PRT,1955-Q1,cpi_index,1.001304
Spain,ESP,1955-Q1,cpi_index,1.844134
Sweden,SWE,1955-Q1,cpi_index,7.245477
Switzerland,CHE,1955-Q1,cpi_index,22.92037
Turkey,TUR,1955-Q1,cpi_index,1.810456e-5
United Kingdom,GBR,1955-Q1,cpi_index,4.859513
United States,USA,1955-Q1,cpi_index,11.26501
Belgium,BEL,1955-Q2,cpi_index,13.02917
Canada,CAN,1955-Q2,cpi_index,11.14037
Finland,FIN,1955-Q2,cpi_index,5.400059
