Pays,iso3,date,indicator,value
Australia,AUS,1960-Q4,gdp_deflator,5.06180088039256
Austria,AUT,1960-Q4,gdp_deflator,15.2027114482169
Belgium,BEL,1960-Q4,gdp_deflator,13.8467243271151
Canada,CAN,1960-Q4,gdp_deflator,10.3269268072418
Chile,CHL,1960-Q4,gdp_deflator,2.4198789463135e-5
Colombia,COL,1960-Q4,gdp_deflator,0.0318721661927025
Costa Rica,CRI,1960-Q4,gdp_deflator,0.106489091576758
Denmark,DNK,1960-Q4,gdp_deflator,7.67693060829009
Finland,FIN,1960-Q4,gdp_deflator,6.01217732184706
France,FRA,1960-Q4,gdp_deflator,9.50401643462072
Germany,DEU,1960-Q4,gdp_deflator,20.2142457391724
Greece,GRC,1960-Q4,gdp_deflator,1.01173737505702
Hungary,HUN,1960-Q4,gdp_deflator,2.55276206142394
Iceland,ISL,1960-Q4,gdp_deflator,0.0243732738585828
Ireland,IRL,1960-Q4,gdp_deflator,4.01625144065411
Israel,ISR,1960-Q4,gdp_deflator,8.169613152835e-4
Italy,ITA,1960-Q4,gdp_deflator,2.90701684638861
Japan,JPN,1960-Q4,gdp_deflator,23.2336484033498
Luxembourg,LUX,1960-Q4,gdp_deflator,10.3506432958024
Mexico,MEX,1960-Q4,gdp_deflator,0.00568012431579304
Netherlands,NLD,1960-Q4,gdp_deflator,13.9579076190883
New Zealand,NZL,1960-Q4,gdp_deflator,4.14307100031402
Norway,NOR,1960-Q4,gdp_deflator,6.4427635511529
Portugal,PRT,1960-Q4,gdp_deflator,1.33503082097851
South Korea,KOR,1960-Q4,gdp_deflator,0.808211011391651
Spain,ESP,1960-Q4,gdp_deflator,2.46187676014283
Sweden,SWE,1960-Q4,gdp_deflator,6.98286499891169
Switzerland,CHE,1960-Q4,gdp_deflator,22.4751358667458
Turkey,TUR,1960-Q4,gdp_deflator,5.52818632346466e-5
United Kingdom,GBR,1960-Q4,gdp_deflator,4.3980852434163
United States,USA,1960-Q4,gdp_deflator,14.5896805087784
Australia,AUS,1961-Q4,gdp_deflator,5.22483317105607
Austria,AUT,1961-Q4,gdp_deflator,15.9760967487123
Belgium,BEL,1961-Q4,gdp_deflator,14.0288736508212
Canada,CAN,1961-Q4,gdp_deflator,10.5793610026296
Chile,CHL,1961-Q4,gdp_deflator,2.57241113388137e-5
Colombia,COL,1961-Q4,gdp_deflator,0.0344950441180288
Costa Rica,CRI,1961-Q4,gdp_deflator,0.10703880274415
Denmark,DNK,1961-Q4,gdp_deflator,8.00754725045979
Finland,FIN,1961-Q4,gdp_deflator,6.33333448867938
France,FRA,1961-Q4,gdp_deflator,9.81595604322194
Germany,DEU,1961-Q4,gdp_deflator,21.2378940995308
Greece,GRC,1961-Q4,gdp_deflator,1.02282985141882
Hungary,HUN,1961-Q4,gdp_deflator,2.57780082855096
Iceland,ISL,1961-Q4,gdp_deflator,0.0276078137153868
Ireland,IRL,1961-Q4,gdp_deflator,4.11761849820281
Israel,ISR,1961-Q4,gdp_deflator,8.8729632329618e-4
Italy,ITA,1961-Q4,gdp_deflator,2.98789467378387
Japan,JPN,1961-Q4,gdp_deflator,25.0425546599617
Luxembourg,LUX,1961-Q4,gdp_deflator,9.97195356607151
Mexico,MEX,1961-Q4,gdp_deflator,0.00587427405134937
Netherlands,NLD,1961-Q4,gdp_deflator,14.6926599970213
New Zealand,NZL,1961-Q4,gdp_deflator,4.15187345610242
Norway,NOR,1961-Q4,gdp_deflator,6.61334378503658
Portugal,PRT,1961-Q4,gdp_deflator,1.3538783298528
South Korea,KOR,1961-Q4,gdp_deflator,0.912926851321619
Spain,ESP,1961-Q4,gdp_deflator,2.52259623630409
Sweden,SWE,1961-Q4,gdp_deflator,7.18797816990411
Switzerland,CHE,1961-Q4,gdp_deflator,23.3872418866914
Turkey,TUR,1961-Q4,gdp_deflator,5.76995604843673e-5
United Kingdom,GBR,1961-Q4,gdp_deflator,4.5460121806075096
United States,USA,1961-Q4,gdp_deflator,14.7866636486431
Australia,AUS,1962-Q4,gdp_deflator,5.22094355602052
Austria,AUT,1962-Q4,gdp_deflator,16.5097308458463
Belgium,BEL,1962-Q4,gdp_deflator,14.2628320468765
Canada,CAN,1962-Q4,gdp_deflator,10.7179373240109
Chile,CHL,1962-Q4,gdp_deflator,2.90593414156479e-5
Colombia,COL,1962-Q4,gdp_deflator,0.0367882870971908
Costa Rica,CRI,1962-Q4,gdp_deflator,0.110430654659668
Denmark,DNK,1962-Q4,gdp_deflator,8.53892045420763
Finland,FIN,1962-Q4,gdp_deflator,6.58501771722169
France,FRA,1962-Q4,gdp_deflator,10.2857257091348
Germany,DEU,1962-Q4,gdp_deflator,22.0783341642246
Greece,GRC,1962-Q4,gdp_deflator,1.07080201232104
Hungary,HUN,1962-Q4,gdp_deflator,2.56268234770965
Iceland,ISL,1962-Q4,gdp_deflator,0.0306851861122192
Ireland,IRL,1962-Q4,gdp_deflator,4.31856831453377
Israel,ISR,1962-Q4,gdp_deflator,9.6635480802479e-4
Italy,ITA,1962-Q4,gdp_deflator,3.16100522135467
Japan,JPN,1962-Q4,gdp_deflator,26.0942361683196
Luxembourg,LUX,1962-Q4,gdp_deflator,10.3603280182936
Mexico,MEX,1962-Q4,gdp_deflator,0.0060247008765655
Netherlands,NLD,1962-Q4,gdp_deflator,14.8041352118593
New Zealand,NZL,1962-Q4,gdp_deflator,4.33941273972671
Norway,NOR,1962-Q4,gdp_deflator,6.92856367884811
Portugal,PRT,1962-Q4,gdp_deflator,1.36303996904353
South Korea,KOR,1962-Q4,gdp_deflator,1.06582908451807
Spain,ESP,1962-Q4,gdp_deflator,2.67636970766918
Sweden,SWE,1962-Q4,gdp_deflator,7.47695408976466
Switzerland,CHE,1962-Q4,gdp_deflator,24.750032427193
Turkey,TUR,1962-Q4,gdp_deflator,6.10397521461267e-5
United Kingdom,GBR,1962-Q4,gdp_deflator,4.69937250793741
United States,USA,1962-Q4,gdp_deflator,14.970703597161
Australia,AUS,1963-Q4,gdp_deflator,5.31443217904963
Austria,AUT,1963-Q4,gdp_deflator,17.1170026821379
Belgium,BEL,1963-Q4,gdp_deflator,14.694396348318
Canada,CAN,1963-Q4,gdp_deflator,10.9518270212074
Chile,CHL,1963-Q4,gdp_deflator,4.16893468600326e-5
