Pays,iso3,date,indicator,value
Australia,AUS,1970-Q4,exchange_rate_lcu_per_usd,0.892856999892857
Austria,AUT,1970-Q4,exchange_rate_lcu_per_usd,1.88949369018117
Belgium,BEL,1970-Q4,exchange_rate_lcu_per_usd,1.23946762508088
Canada,CAN,1970-Q4,exchange_rate_lcu_per_usd,1.04421874416666
Chile,CHL,1970-Q4,exchange_rate_lcu_per_usd,0.011277504091988
Colombia,COL,1970-Q4,exchange_rate_lcu_per_usd,18.4441666666666
Costa Rica,CRI,1970-Q4,exchange_rate_lcu_per_usd,6.625000005625
Denmark,DNK,1970-Q4,exchange_rate_lcu_per_usd,7.5000000065
Finland,FIN,1970-Q4,exchange_rate_lcu_per_usd,0.706384246038749
France,FRA,1970-Q4,exchange_rate_lcu_per_usd,0.846730807744134
Germany,DEU,1970-Q4,exchange_rate_lcu_per_usd,1.8713282865382
Greece,GRC,1970-Q4,exchange_rate_lcu_per_usd,0.088041085925165
Hungary,HUN,1970-Q4,exchange_rate_lcu_per_usd,59.999999999
Iceland,ISL,1970-Q4,exchange_rate_lcu_per_usd,0.879999999968158
Ireland,IRL,1970-Q4,exchange_rate_lcu_per_usd,0.529057955184172
Israel,ISR,1970-Q4,exchange_rate_lcu_per_usd,3.49999232783e-4
Italy,ITA,1970-Q4,exchange_rate_lcu_per_usd,0.322785562253715
Japan,JPN,1970-Q4,exchange_rate_lcu_per_usd,360.000000359
Luxembourg,LUX,1970-Q4,exchange_rate_lcu_per_usd,1.23946762508088
Mexico,MEX,1970-Q4,exchange_rate_lcu_per_usd,0.0125000000125
Netherlands,NLD,1970-Q4,exchange_rate_lcu_per_usd,1.64268438343521
New Zealand,NZL,1970-Q4,exchange_rate_lcu_per_usd,0.892856999892857
Norway,NOR,1970-Q4,exchange_rate_lcu_per_usd,7.14286000614286
Poland,POL,1970-Q4,exchange_rate_lcu_per_usd,4e-4
Portugal,PRT,1970-Q4,exchange_rate_lcu_per_usd,0.143404395550473
South Korea,KOR,1970-Q4,exchange_rate_lcu_per_usd,310.555833333333
Spain,ESP,1970-Q4,exchange_rate_lcu_per_usd,0.420708473489356
Sweden,SWE,1970-Q4,exchange_rate_lcu_per_usd,5.17321000417321
Switzerland,CHE,1970-Q4,exchange_rate_lcu_per_usd,4.37295000337295
Turkey,TUR,1970-Q4,exchange_rate_lcu_per_usd,1.1328499999e-5
United Kingdom,GBR,1970-Q4,exchange_rate_lcu_per_usd,0.416666999416667
United States,USA,1970-Q4,exchange_rate_lcu_per_usd,1
Australia,AUS,1971-Q4,exchange_rate_lcu_per_usd,0.882670259295547
Austria,AUT,1971-Q4,exchange_rate_lcu_per_usd,1.81577319507131
Belgium,BEL,1971-Q4,exchange_rate_lcu_per_usd,1.21609070477839
Canada,CAN,1971-Q4,exchange_rate_lcu_per_usd,1.00981054416666
Chile,CHL,1971-Q4,exchange_rate_lcu_per_usd,0.012208643574385
Colombia,COL,1971-Q4,exchange_rate_lcu_per_usd,19.9333333333333
Costa Rica,CRI,1971-Q4,exchange_rate_lcu_per_usd,6.62583333840625
Denmark,DNK,1971-Q4,exchange_rate_lcu_per_usd,7.42633796871194
Finland,FIN,1971-Q4,exchange_rate_lcu_per_usd,0.70376855166428
France,FRA,1971-Q4,exchange_rate_lcu_per_usd,0.84465923143147
Germany,DEU,1971-Q4,exchange_rate_lcu_per_usd,1.79330182586747
Greece,GRC,1971-Q4,exchange_rate_lcu_per_usd,0.088041085924916
Hungary,HUN,1971-Q4,exchange_rate_lcu_per_usd,59.8216166656666
Iceland,ISL,1971-Q4,exchange_rate_lcu_per_usd,0.879999999887478
Ireland,IRL,1971-Q4,exchange_rate_lcu_per_usd,0.521761050575095
Israel,ISR,1971-Q4,exchange_rate_lcu_per_usd,3.79165835522e-4
Italy,ITA,1971-Q4,exchange_rate_lcu_per_usd,0.320388834871977
Japan,JPN,1971-Q4,exchange_rate_lcu_per_usd,350.677693533362
Luxembourg,LUX,1971-Q4,exchange_rate_lcu_per_usd,1.21609070477839
Mexico,MEX,1971-Q4,exchange_rate_lcu_per_usd,0.012500000011458
Netherlands,NLD,1971-Q4,exchange_rate_lcu_per_usd,1.59598156694376
New Zealand,NZL,1971-Q4,exchange_rate_lcu_per_usd,0.880607194603158
Norway,NOR,1971-Q4,exchange_rate_lcu_per_usd,7.05590547080102
Poland,POL,1971-Q4,exchange_rate_lcu_per_usd,3.89333333233e-4
Portugal,PRT,1971-Q4,exchange_rate_lcu_per_usd,0.141459932999751
South Korea,KOR,1971-Q4,exchange_rate_lcu_per_usd,347.1475
Spain,ESP,1971-Q4,exchange_rate_lcu_per_usd,0.417515095664099
Sweden,SWE,1971-Q4,exchange_rate_lcu_per_usd,5.12590524750268
Switzerland,CHE,1971-Q4,exchange_rate_lcu_per_usd,4.13385416831202
Turkey,TUR,1971-Q4,exchange_rate_lcu_per_usd,1.4866666667e-5
United Kingdom,GBR,1971-Q4,exchange_rate_lcu_per_usd,0.410920237429424
United States,USA,1971-Q4,exchange_rate_lcu_per_usd,1
Australia,AUS,1972-Q4,exchange_rate_lcu_per_usd,0.838697807262207
Austria,AUT,1972-Q4,exchange_rate_lcu_per_usd,1.67985678599546
Belgium,BEL,1972-Q4,exchange_rate_lcu_per_usd,1.09109302036776
Canada,CAN,1972-Q4,exchange_rate_lcu_per_usd,0.990662555833333
Chile,CHL,1972-Q4,exchange_rate_lcu_per_usd,0.020835225059597
Colombia,COL,1972-Q4,exchange_rate_lcu_per_usd,21.8666666666666
Costa Rica,CRI,1972-Q4,exchange_rate_lcu_per_usd,6.634999999
Denmark,DNK,1972-Q4,exchange_rate_lcu_per_usd,6.94929166566666
Finland,FIN,1972-Q4,exchange_rate_lcu_per_usd,0.697363205623325
France,FRA,1972-Q4,exchange_rate_lcu_per_usd,0.769035853819781
Germany,DEU,1972-Q4,exchange_rate_lcu_per_usd,1.63032659569936
Greece,GRC,1972-Q4,exchange_rate_lcu_per_usd,0.088041966259721
Hungary,HUN,1972-Q4,exchange_rate_lcu_per_usd,55.259999999
Iceland,ISL,1972-Q4,exchange_rate_lcu_per_usd,0.882603545953388
Ireland,IRL,1972-Q4,exchange_rate_lcu_per_usd,0.508391015244485
Israel,ISR,1972-Q4,exchange_rate_lcu_per_usd,4.17979671411e-4
Italy,ITA,1972-Q4,exchange_rate_lcu_per_usd,0.301206701544421
Japan,JPN,1972-Q4,exchange_rate_lcu_per_usd,303.172499999
Luxembourg,LUX,1972-Q4,exchange_rate_lcu_per_usd,1.09109302036776
Mexico,MEX,1972-Q4,exchange_rate_lcu_per_usd,0.01250002303792
