Pays,iso3,date,indicator,value
United States,USA,1947-Q1,final_consumption_expenditure,84619.8
United States,USA,1947-Q2,final_consumption_expenditure,88593.8
United States,USA,1947-Q3,final_consumption_expenditure,89194.1
United States,USA,1947-Q4,final_consumption_expenditure,95437.3
United States,USA,1948-Q1,final_consumption_expenditure,91506.5
United States,USA,1948-Q2,final_consumption_expenditure,95232
United States,USA,1948-Q3,final_consumption_expenditure,96577.3
United States,USA,1948-Q4,final_consumption_expenditure,101715.3
United States,USA,1949-Q1,final_consumption_expenditure,95326.1
United States,USA,1949-Q2,final_consumption_expenditure,98775
United States,USA,1949-Q3,final_consumption_expenditure,98037.5
United States,USA,1949-Q4,final_consumption_expenditure,103021.6
United States,USA,1950-Q1,final_consumption_expenditure,98502
United States,USA,1950-Q2,final_consumption_expenditure,102652.8
United States,USA,1950-Q3,final_consumption_expenditure,109071.6
United States,USA,1950-Q4,final_consumption_expenditure,112921
United States,USA,1951-Q1,final_consumption_expenditure,113956.3
United States,USA,1951-Q2,final_consumption_expenditure,114940
United States,USA,1951-Q3,final_consumption_expenditure,117005.5
United States,USA,1951-Q4,final_consumption_expenditure,124497.8
United States,USA,1952-Q1,final_consumption_expenditure,119058.6
United States,USA,1952-Q2,final_consumption_expenditure,124236.8
United States,USA,1952-Q3,final_consumption_expenditure,125248.1
United States,USA,1952-Q4,final_consumption_expenditure,135060.3
United States,USA,1953-Q1,final_consumption_expenditure,129867.3
United States,USA,1953-Q2,final_consumption_expenditure,134009.8
United States,USA,1953-Q3,final_consumption_expenditure,133097.5
United States,USA,1953-Q4,final_consumption_expenditure,138603.5
United States,USA,1954-Q1,final_consumption_expenditure,131776
United States,USA,1954-Q2,final_consumption_expenditure,135547.1
United States,USA,1954-Q3,final_consumption_expenditure,135555.6
United States,USA,1954-Q4,final_consumption_expenditure,143410.1
United Kingdom,GBR,1955-Q1,final_consumption_expenditure,11197
United States,USA,1955-Q1,final_consumption_expenditure,139328.5
United Kingdom,GBR,1955-Q2,final_consumption_expenditure,11264
United States,USA,1955-Q2,final_consumption_expenditure,145133.8
United Kingdom,GBR,1955-Q3,final_consumption_expenditure,11553
