Pays,iso3,date,indicator,value
United States,USA,1947-Q2,real_gdp_growth_qoq,-0.265224282
United States,USA,1947-Q3,real_gdp_growth_qoq,-0.20487925
United States,USA,1947-Q4,real_gdp_growth_qoq,1.565986876
United States,USA,1948-Q1,real_gdp_growth_qoq,1.506037747
United States,USA,1948-Q2,real_gdp_growth_qoq,1.652377436
United States,USA,1948-Q3,real_gdp_growth_qoq,0.57451827
United States,USA,1948-Q4,real_gdp_growth_qoq,0.113286487
United States,USA,1949-Q1,real_gdp_growth_qoq,-1.376613836
United States,USA,1949-Q2,real_gdp_growth_qoq,-0.339657476
United States,USA,1949-Q3,real_gdp_growth_qoq,1.033940371
United States,USA,1949-Q4,real_gdp_growth_qoq,-0.837805259
United States,USA,1950-Q1,real_gdp_growth_qoq,3.93168633
United States,USA,1950-Q2,real_gdp_growth_qoq,3.050930394
United States,USA,1950-Q3,real_gdp_growth_qoq,3.865065794
United States,USA,1950-Q4,real_gdp_growth_qoq,1.91495691
United States,USA,1951-Q1,real_gdp_growth_qoq,1.357955997
United States,USA,1951-Q2,real_gdp_growth_qoq,1.732134603
United States,USA,1951-Q3,real_gdp_growth_qoq,2.059988677
United States,USA,1951-Q4,real_gdp_growth_qoq,0.218954063
United States,USA,1952-Q1,real_gdp_growth_qoq,1.066926106
United States,USA,1952-Q2,real_gdp_growth_qoq,0.214299801
United States,USA,1952-Q3,real_gdp_growth_qoq,0.721230522
United States,USA,1952-Q4,real_gdp_growth_qoq,3.283945587
United States,USA,1953-Q1,real_gdp_growth_qoq,1.859039973
United States,USA,1953-Q2,real_gdp_growth_qoq,0.773091513
United States,USA,1953-Q3,real_gdp_growth_qoq,-0.562515972
United States,USA,1953-Q4,real_gdp_growth_qoq,-1.513718722
United States,USA,1954-Q1,real_gdp_growth_qoq,-0.477570487
United States,USA,1954-Q2,real_gdp_growth_qoq,0.109412651
United States,USA,1954-Q3,real_gdp_growth_qoq,1.129689412
United States,USA,1954-Q4,real_gdp_growth_qoq,1.956964147
United States,USA,1955-Q1,real_gdp_growth_qoq,2.85659611
United Kingdom,GBR,1955-Q2,real_gdp_growth_qoq,0.064623909
United States,USA,1955-Q2,real_gdp_growth_qoq,1.627544984
United Kingdom,GBR,1955-Q3,real_gdp_growth_qoq,1.679136523
United States,USA,1955-Q3,real_gdp_growth_qoq,1.35082136
United Kingdom,GBR,1955-Q4,real_gdp_growth_qoq,-0.591911889
United States,USA,1955-Q4,real_gdp_growth_qoq,0.600666135
