Pays,iso3,date,indicator,value
Canada,CAN,1956-Q1,short_term_interest,2.8533333333333335
Canada,CAN,1956-Q2,short_term_interest,3.5
Canada,CAN,1956-Q3,short_term_interest,4.0633333333333335
Canada,CAN,1956-Q4,short_term_interest,4.5200000000000005
Canada,CAN,1957-Q1,short_term_interest,5.206666666666667
Canada,CAN,1957-Q2,short_term_interest,5.32
Canada,CAN,1957-Q3,short_term_interest,5.32
Belgium,BEL,1957-Q4,short_term_interest,3.5
Canada,CAN,1957-Q4,short_term_interest,5.176666666666667
Belgium,BEL,1958-Q1,short_term_interest,3.6666666666666665
Canada,CAN,1958-Q1,short_term_interest,4.123333333333333
Belgium,BEL,1958-Q2,short_term_interest,3.1666666666666665
Canada,CAN,1958-Q2,short_term_interest,2.91
Belgium,BEL,1958-Q3,short_term_interest,2.3333333333333335
Canada,CAN,1958-Q3,short_term_interest,2.6033333333333335
Belgium,BEL,1958-Q4,short_term_interest,2.1666666666666665
Canada,CAN,1958-Q4,short_term_interest,2.9966666666666666
Belgium,BEL,1959-Q1,short_term_interest,1.85
Canada,CAN,1959-Q1,short_term_interest,3.9
Belgium,BEL,1959-Q2,short_term_interest,1.85
Canada,CAN,1959-Q2,short_term_interest,5.036666666666667
Belgium,BEL,1959-Q3,short_term_interest,1.85
Canada,CAN,1959-Q3,short_term_interest,6.1033333333333335
Belgium,BEL,1959-Q4,short_term_interest,2.4333333333333336
Canada,CAN,1959-Q4,short_term_interest,5.69
Belgium,BEL,1960-Q1,short_term_interest,3.5
Canada,CAN,1960-Q1,short_term_interest,4.916666666666667
Germany,DEU,1960-Q1,short_term_interest,4.513333333333334
Belgium,BEL,1960-Q2,short_term_interest,3.5
Canada,CAN,1960-Q2,short_term_interest,3.98
Germany,DEU,1960-Q2,short_term_interest,4.826666666666666
Belgium,BEL,1960-Q3,short_term_interest,4.166666666666667
Canada,CAN,1960-Q3,short_term_interest,3.1066666666666665
Germany,DEU,1960-Q3,short_term_interest,5.543333333333334
Belgium,BEL,1960-Q4,short_term_interest,4.5
Canada,CAN,1960-Q4,short_term_interest,3.9833333333333334
Germany,DEU,1960-Q4,short_term_interest,5.513333333333333
Belgium,BEL,1961-Q1,short_term_interest,4.5
Canada,CAN,1961-Q1,short_term_interest,3.6966666666666663
Germany,DEU,1961-Q1,short_term_interest,4.173333333333334
Belgium,BEL,1961-Q2,short_term_interest,4.5
Canada,CAN,1961-Q2,short_term_interest,3.53
Germany,DEU,1961-Q2,short_term_interest,3.2333333333333334
Belgium,BEL,1961-Q3,short_term_interest,4.333333333333333
Canada,CAN,1961-Q3,short_term_interest,3.1366666666666667
Germany,DEU,1961-Q3,short_term_interest,3.1033333333333335
Belgium,BEL,1961-Q4,short_term_interest,4.166666666666667
Canada,CAN,1961-Q4,short_term_interest,3.106666666666667
Germany,DEU,1961-Q4,short_term_interest,3.8633333333333333
Belgium,BEL,1962-Q1,short_term_interest,3.433333333333333
Canada,CAN,1962-Q1,short_term_interest,3.4021666666666666
