Pays,iso3,date,indicator,value
United States,USA,1955-Q1,trade_balance_usd_billion,0.8351
United States,USA,1955-Q2,trade_balance_usd_billion,0.6467
United States,USA,1955-Q3,trade_balance_usd_billion,0.7776
United States,USA,1955-Q4,trade_balance_usd_billion,0.6402000000000001
United States,USA,1956-Q1,trade_balance_usd_billion,0.7844
United States,USA,1956-Q2,trade_balance_usd_billion,1.1218
United States,USA,1956-Q3,trade_balance_usd_billion,1.1928999999999998
United States,USA,1956-Q4,trade_balance_usd_billion,1.6301
Austria,AUT,1957-Q1,trade_balance_usd_billion,-0.0449116
Belgium,BEL,1957-Q1,trade_balance_usd_billion,-0.064971501
Canada,CAN,1957-Q1,trade_balance_usd_billion,-0.21406836
Denmark,DNK,1957-Q1,trade_balance_usd_billion,-0.08489851
Finland,FIN,1957-Q1,trade_balance_usd_billion,-0.038370806
Germany,DEU,1957-Q1,trade_balance_usd_billion,0.20943921
Greece,GRC,1957-Q1,trade_balance_usd_billion,-0.050020709999999996
Iceland,ISL,1957-Q1,trade_balance_usd_billion,-5.059012e-4
Ireland,IRL,1957-Q1,trade_balance_usd_billion,-0.03139953
Italy,ITA,1957-Q1,trade_balance_usd_billion,-0.30022323
Japan,JPN,1957-Q1,trade_balance_usd_billion,-0.3766413
Netherlands,NLD,1957-Q1,trade_balance_usd_billion,-0.33162559999999996
New Zealand,NZL,1957-Q1,trade_balance_usd_billion,-0.006268756
Portugal,PRT,1957-Q1,trade_balance_usd_billion,-0.06317709
South Korea,KOR,1957-Q1,trade_balance_usd_billion,-0.06672482
Sweden,SWE,1957-Q1,trade_balance_usd_billion,-0.08957178
Switzerland,CHE,1957-Q1,trade_balance_usd_billion,-0.12702017
Turkey,TUR,1957-Q1,trade_balance_usd_billion,-0.028997596
United Kingdom,GBR,1957-Q1,trade_balance_usd_billion,-0.5216752
United States,USA,1957-Q1,trade_balance_usd_billion,1.8799000000000001
Austria,AUT,1957-Q2,trade_balance_usd_billion,-0.034916089
Belgium,BEL,1957-Q2,trade_balance_usd_billion,-0.07881079
Canada,CAN,1957-Q2,trade_balance_usd_billion,-0.20338995999999998
Denmark,DNK,1957-Q2,trade_balance_usd_billion,-0.041684771
Finland,FIN,1957-Q2,trade_balance_usd_billion,-0.0072070039999999995
Germany,DEU,1957-Q2,trade_balance_usd_billion,0.25131122
Greece,GRC,1957-Q2,trade_balance_usd_billion,-0.08926250999999999
Iceland,ISL,1957-Q2,trade_balance_usd_billion,-0.005719228
Ireland,IRL,1957-Q2,trade_balance_usd_billion,-0.034676563
Italy,ITA,1957-Q2,trade_balance_usd_billion,-0.28586431
Japan,JPN,1957-Q2,trade_balance_usd_billion,-0.48291130000000004
Netherlands,NLD,1957-Q2,trade_balance_usd_billion,-0.29088867
New Zealand,NZL,1957-Q2,trade_balance_usd_billion,-0.016910778999999997
Portugal,PRT,1957-Q2,trade_balance_usd_billion,-0.06207489
South Korea,KOR,1957-Q2,trade_balance_usd_billion,-0.13783696
Sweden,SWE,1957-Q2,trade_balance_usd_billion,-0.07897824
Switzerland,CHE,1957-Q2,trade_balance_usd_billion,-0.10427741
Turkey,TUR,1957-Q2,trade_balance_usd_billion,-0.011634286
United Kingdom,GBR,1957-Q2,trade_balance_usd_billion,-0.5205855
United States,USA,1957-Q2,trade_balance_usd_billion,1.7542
Austria,AUT,1957-Q3,trade_balance_usd_billion,-0.03928218
Belgium,BEL,1957-Q3,trade_balance_usd_billion,-0.076736796
Canada,CAN,1957-Q3,trade_balance_usd_billion,-0.13294642
Denmark,DNK,1957-Q3,trade_balance_usd_billion,-0.023265446000000002
Finland,FIN,1957-Q3,trade_balance_usd_billion,-0.011339886
Germany,DEU,1957-Q3,trade_balance_usd_billion,0.24205362
Greece,GRC,1957-Q3,trade_balance_usd_billion,-0.10094737
Iceland,ISL,1957-Q3,trade_balance_usd_billion,-0.00503837809
Ireland,IRL,1957-Q3,trade_balance_usd_billion,-0.03342759
Italy,ITA,1957-Q3,trade_balance_usd_billion,-0.2626418
Japan,JPN,1957-Q3,trade_balance_usd_billion,-0.3325382
Netherlands,NLD,1957-Q3,trade_balance_usd_billion,-0.2183448
New Zealand,NZL,1957-Q3,trade_balance_usd_billion,-0.009901232
Portugal,PRT,1957-Q3,trade_balance_usd_billion,-0.044262460000000003
South Korea,KOR,1957-Q3,trade_balance_usd_billion,-0.12883501
Sweden,SWE,1957-Q3,trade_balance_usd_billion,-0.063788538
Switzerland,CHE,1957-Q3,trade_balance_usd_billion,-0.09784747
Turkey,TUR,1957-Q3,trade_balance_usd_billion,-0.021563811
United Kingdom,GBR,1957-Q3,trade_balance_usd_billion,-0.4177961
United States,USA,1957-Q3,trade_balance_usd_billion,1.5544
Austria,AUT,1957-Q4,trade_balance_usd_billion,-0.032738991
Belgium,BEL,1957-Q4,trade_balance_usd_billion,-0.035343391
Canada,CAN,1957-Q4,trade_balance_usd_billion,-0.058908119
Denmark,DNK,1957-Q4,trade_balance_usd_billion,-0.0239261319
Finland,FIN,1957-Q4,trade_balance_usd_billion,-0.006634832
Germany,DEU,1957-Q4,trade_balance_usd_billion,0.26532395
Greece,GRC,1957-Q4,trade_balance_usd_billion,-0.07230781
Iceland,ISL,1957-Q4,trade_balance_usd_billion,-0.0077814276
Ireland,IRL,1957-Q4,trade_balance_usd_billion,-0.04576198
Italy,ITA,1957-Q4,trade_balance_usd_billion,-0.28120598
Japan,JPN,1957-Q4,trade_balance_usd_billion,-0.21965423
Netherlands,NLD,1957-Q4,trade_balance_usd_billion,-0.16170792
New Zealand,NZL,1957-Q4,trade_balance_usd_billion,-0.018314586100000002
Portugal,PRT,1957-Q4,trade_balance_usd_billion,-0.04606076
South Korea,KOR,1957-Q4,trade_balance_usd_billion,-0.08213146
Sweden,SWE,1957-Q4,trade_balance_usd_billion,-0.06239002
Switzerland,CHE,1957-Q4,trade_balance_usd_billion,-0.07730489
Turkey,TUR,1957-Q4,trade_balance_usd_billion,-0.025273276
United Kingdom,GBR,1957-Q4,trade_balance_usd_billion,-0.33275153
United States,USA,1957-Q4,trade_balance_usd_billion,1.3418999999999999
Australia,AUS,1958-Q1,trade_balance_usd_billion,-0.04244745
Austria,AUT,1958-Q1,trade_balance_usd_billion,-0.03853193
Belgium,BEL,1958-Q1,trade_balance_usd_billion,-0.0015346419999999997
Canada,CAN,1958-Q1,trade_balance_usd_billion,-0.05143423
Denmark,DNK,1958-Q1,trade_balance_usd_billion,-0.0075271919999999985
Finland,FIN,1958-Q1,trade_balance_usd_billion,0.010102237
Germany,DEU,1958-Q1,trade_balance_usd_billion,0.19545705
Greece,GRC,1958-Q1,trade_balance_usd_billion,-0.09681862
Iceland,ISL,1958-Q1,trade_balance_usd_billion,-0.011862387
Ireland,IRL,1958-Q1,trade_balance_usd_billion,-0.03767221
Italy,ITA,1958-Q1,trade_balance_usd_billion,-0.15951878
Japan,JPN,1958-Q1,trade_balance_usd_billion,-0.053579623
Netherlands,NLD,1958-Q1,trade_balance_usd_billion,-0.11003001000000001
New Zealand,NZL,1958-Q1,trade_balance_usd_billion,-0.029192704
Portugal,PRT,1958-Q1,trade_balance_usd_billion,-0.05082392
South Korea,KOR,1958-Q1,trade_balance_usd_billion,-0.10129798
Sweden,SWE,1958-Q1,trade_balance_usd_billion,-0.11334090999999999
Switzerland,CHE,1958-Q1,trade_balance_usd_billion,-0.04723649
Turkey,TUR,1958-Q1,trade_balance_usd_billion,-0.03692902
United Kingdom,GBR,1958-Q1,trade_balance_usd_billion,-0.24270058
United States,USA,1958-Q1,trade_balance_usd_billion,1.0042
Australia,AUS,1958-Q2,trade_balance_usd_billion,-0.04675759
Austria,AUT,1958-Q2,trade_balance_usd_billion,-0.04546898
Belgium,BEL,1958-Q2,trade_balance_usd_billion,-0.053326884000000005
Canada,CAN,1958-Q2,trade_balance_usd_billion,0.027763139
Denmark,DNK,1958-Q2,trade_balance_usd_billion,0.001377727
Finland,FIN,1958-Q2,trade_balance_usd_billion,0.007021388
Germany,DEU,1958-Q2,trade_balance_usd_billion,0.3403431
Greece,GRC,1958-Q2,trade_balance_usd_billion,-0.08501242
Iceland,ISL,1958-Q2,trade_balance_usd_billion,-0.0035643080999999996
Ireland,IRL,1958-Q2,trade_balance_usd_billion,-0.044857709999999995
Italy,ITA,1958-Q2,trade_balance_usd_billion,-0.13688551999999998
Japan,JPN,1958-Q2,trade_balance_usd_billion,-0.016451833399999997
