Pays,iso3,date,real_gdp_growth_qoq,gdp_level,final_consumption_expenditure,cpi_index,short_term_interest,trade_balance_usd_billion,reer_ic37_41_cpi
United States,USA,1947Q2,-0.265224282,60672,88593.8,NA,NA,NA,NA
United States,USA,1947Q3,-0.20487925,62196,89194.1,NA,NA,NA,NA
United States,USA,1947Q4,1.565986876,68250,95437.3,NA,NA,NA,NA
United States,USA,1948Q1,1.506037747,64258,91506.5,NA,NA,NA,NA
United States,USA,1948Q2,1.652377436,66539,95232,NA,NA,NA,NA
United States,USA,1948Q3,0.57451827,69378,96577.3,NA,NA,NA,NA
United States,USA,1948Q4,0.113286487,74295,101715.3,NA,NA,NA,NA
United States,USA,1949Q1,-1.376613836,66185,95326.1,NA,NA,NA,NA
United States,USA,1949Q2,-0.339657476,66340,98775,NA,NA,NA,NA
United States,USA,1949Q3,1.033940371,68625,98037.5,NA,NA,NA,NA
United States,USA,1949Q4,-0.837805259,71322,103021.6,NA,NA,NA,NA
United States,USA,1950Q1,3.93168633,68032,98502,NA,NA,NA,NA
United States,USA,1950Q2,3.050930394,70872,102652.8,NA,NA,NA,NA
United States,USA,1950Q3,3.865065794,77178,109071.6,NA,NA,NA,NA
United States,USA,1950Q4,1.91495691,83746,112921,NA,NA,NA,NA
United States,USA,1951Q1,1.357955997,81603,113956.3,NA,NA,NA,NA
United States,USA,1951Q2,1.732134603,84645,114940,NA,NA,NA,NA
United States,USA,1951Q3,2.059988677,87586,117005.5,NA,NA,NA,NA
United States,USA,1951Q4,0.218954063,93076,124497.8,NA,NA,NA,NA
United States,USA,1952Q1,1.066926106,87610,119058.6,NA,NA,NA,NA
United States,USA,1952Q2,0.214299801,88913,124236.8,NA,NA,NA,NA
United States,USA,1952Q3,0.721230522,91270,125248.1,NA,NA,NA,NA
United States,USA,1952Q4,3.283945587,99548,135060.3,NA,NA,NA,NA
United States,USA,1953Q1,1.859039973,94008,129867.3,NA,NA,NA,NA
United States,USA,1953Q2,0.773091513,97392,134009.8,NA,NA,NA,NA
United States,USA,1953Q3,-0.562515972,96695,133097.5,NA,NA,NA,NA
United States,USA,1953Q4,-1.513718722,101121,138603.5,NA,NA,NA,NA
United States,USA,1954Q1,-0.477570487,93581,131776,NA,NA,NA,NA
United States,USA,1954Q2,0.109412651,96090,135547.1,NA,NA,NA,NA
United States,USA,1954Q3,1.129689412,96905,135555.6,NA,NA,NA,NA
United States,USA,1954Q4,1.956964147,103980,143410.1,NA,NA,NA,NA
United States,USA,1955Q1,2.85659611,99833,139328.5,11.26501,NA,0.8351,NA
United Kingdom,GBR,1955Q2,0.064623909,4688,11264,4.978576,NA,NA,NA
United States,USA,1955Q2,1.627544984,104406,145133.8,11.26501,NA,0.6467,NA
United Kingdom,GBR,1955Q3,1.679136523,4862,11553,4.991805,NA,NA,NA
United States,USA,1955Q3,1.35082136,107058,146683.3,11.3494,NA,0.7776,NA
United Kingdom,GBR,1955Q4,-0.591911889,4954,11731,5.124096,NA,NA,NA
United States,USA,1955Q4,0.600666135,114181,154031.6,11.30721,NA,0.6402000000000001,NA
United Kingdom,GBR,1956Q1,1.247969331,5086,11837,5.172842,NA,NA,NA
United States,USA,1956Q1,-0.388042688,106892,147742.5,11.30721,NA,0.7844,NA
United Kingdom,GBR,1956Q2,-0.080561243,5155,12103,5.229012,NA,NA,NA
United States,USA,1956Q2,0.826576162,110356,151849.3,11.47597,NA,1.1218,NA
United Kingdom,GBR,1956Q3,-0.114220445,5235,12185,5.213693,NA,NA,NA
United States,USA,1956Q3,-0.089703387,111816,152396.3,11.56035,NA,1.1928999999999998,NA
United Kingdom,GBR,1956Q4,0.633639391,5370,12377,5.280077,NA,NA,NA
United States,USA,1956Q4,1.645911297,120287,161300.3,11.64473,NA,1.6301,NA
United Kingdom,GBR,1957Q1,1.820770418,5380,12516,5.315823,NA,-0.5216752,NA
United States,USA,1957Q1,0.640267872,113459,156284.6,11.72912,NA,1.8799000000000001,NA
United Kingdom,GBR,1957Q2,-0.030197399,5461,12635,5.397526,NA,-0.5205855,NA
United States,USA,1957Q2,-0.219140239,117125,160843.5,11.85569,NA,1.7542,NA
United Kingdom,GBR,1957Q3,-0.620547001,5578,12949,5.417952,NA,-0.4177961,NA
United States,USA,1957Q3,0.979921833,119108,162797,11.94007,NA,1.5544,NA
United Kingdom,GBR,1957Q4,0.341614907,5688,13120,5.525187,NA,-0.33275153,NA
United States,USA,1957Q4,-1.034538359,124349,169601,11.98226,NA,1.3418999999999999,NA
United Kingdom,GBR,1958Q1,2.146756488,5800,13253,5.5354,NA,-0.24270058,NA
United States,USA,1958Q1,-2.59590361,113202,161465,12.15103,NA,1.0042,NA
United Kingdom,GBR,1958Q2,-2.488444207,5725,13317,5.627316,NA,-0.3207934,NA
United States,USA,1958Q2,0.656898848,117802,166466.3,12.19322,NA,0.9258,NA
United Kingdom,GBR,1958Q3,2.177750451,5824,13507,5.5354,NA,-0.29609125999999997,NA
United States,USA,1958Q3,2.313111068,120079,167970.3,12.19322,NA,0.9276,NA
